Total Number of Medical Graduates,Passing Years,Country of Medical Graduates
22.21,2018,Latvia
23.51,2019,Latvia
23.89,2020,Latvia
27.33,2021,Latvia
27.56,2022,Latvia
391.0,2010,Lithuania
407.0,2011,Lithuania
394.0,2012,Lithuania
438.0,2013,Lithuania
429.0,2014,Lithuania
476.0,2015,Lithuania
462.0,2016,Lithuania
545.0,2017,Lithuania
554.0,2018,Lithuania
552.0,2019,Lithuania
571.0,2020,Lithuania
571.0,2021,Lithuania
12.62,2010,Lithuania
13.44,2011,Lithuania
13.19,2012,Lithuania
14.81,2013,Lithuania
14.63,2014,Lithuania
16.39,2015,Lithuania
16.11,2016,Lithuania
19.27,2017,Lithuania
19.77,2018,Lithuania
19.76,2019,Lithuania
20.43,2020,Lithuania
20.39,2021,Lithuania
179.0,2010,Latvia
232.0,2011,Latvia
234.0,2012,Latvia
271.0,2013,Latvia
280.0,2014,Latvia
320.0,2015,Latvia
320.0,2016,Latvia
337.0,2017,Latvia
428.0,2018,Latvia
450.0,2019,Latvia
454.0,2020,Latvia
515.0,2021,Latvia
517.0,2022,Latvia
31.98,2010,Lithuania
32.8,2011,Lithuania
31.26,2012,Lithuania
34.62,2013,Lithuania
33.96,2014,Lithuania
37.76,2015,Lithuania
36.06,2016,Lithuania
42.29,2017,Lithuania
43.01,2018,Lithuania
43.23,2019,Lithuania
45.57,2020,Lithuania
45.56,2021,Lithuania
27.47,2010,Latvia
35.94,2011,Latvia
36.59,2012,Latvia
42.19,2013,Latvia
43.67,2014,Latvia
50.6,2015,Latvia
50.83,2016,Latvia
54.14,2017,Latvia
67.22,2018,Latvia
71.97,2019,Latvia
71.54,2020,Latvia
81.38,2021,Latvia
9.18,2010,Colombia
8.88,2011,Colombia
9.59,2012,Colombia
10.55,2013,Colombia
9.22,2014,Colombia
10.02,2015,Colombia
10.76,2016,Colombia
11.66,2017,Colombia
12.9,2018,Colombia
12.54,2019,Colombia
11.7,2020,Colombia
4180.0,2010,Colombia
4088.0,2011,Colombia
4467.0,2012,Colombia
4973.0,2013,Colombia
4396.0,2014,Colombia
4830.0,2015,Colombia
5246.0,2016,Colombia
5748.0,2017,Colombia
6429.0,2018,Colombia
6319.0,2019,Colombia
5955.0,2020,Colombia
55.23,2010,Colombia
51.5,2011,Colombia
53.87,2012,Colombia
57.21,2013,Colombia
48.17,2014,Colombia
50.87,2015,Colombia
52.98,2016,Colombia
55.2,2017,Colombia
58.48,2018,Colombia
54.64,2019,Colombia
49.14,2020,Colombia
12.06,2010,Croatia
11.74,2011,Croatia
11.29,2012,Croatia
10.46,2013,Croatia
15.01,2014,Croatia
12.19,2015,Croatia
14.55,2016,Croatia
14.02,2017,Croatia
15.33,2018,Croatia
16.94,2019,Croatia
16.73,2020,Croatia
16.56,2021,Croatia
518.0,2010,Croatia
503.0,2011,Croatia
482.0,2012,Croatia
445.0,2013,Croatia
636.0,2014,Croatia
513.0,2015,Croatia
607.0,2016,Croatia
579.0,2017,Croatia
627.0,2018,Croatia
689.0,2019,Croatia
677.0,2020,Croatia
654.0,2021,Croatia
21.42,2010,Bulgaria
21.26,2011,Bulgaria
22.26,2012,Bulgaria
24.06,2013,Bulgaria
26.87,2014,Bulgaria
28.86,2015,Bulgaria
29.35,2016,Bulgaria
35.53,2017,Bulgaria
37.2,2018,Bulgaria
45.69,2019,Bulgaria
47.68,2020,Bulgaria
52.94,2021,Bulgaria
42.1,2010,Croatia
40.27,2011,Croatia
37.74,2012,Croatia
34.48,2013,Croatia
47.81,2014,Croatia
38.2,2015,Croatia
44.95,2016,Croatia
41.7,2017,Croatia
44.55,2018,Croatia
48.14,2019,Croatia
47.49,2020,Croatia
44.62,2021,Croatia
14.32,2010,Romania
15.04,2011,Romania
15.8,2012,Romania
14.83,2013,Romania
17.56,2014,Romania
19.64,2015,Romania
22.17,2016,Romania
23.53,2017,Romania
26.07,2018,Romania
25.64,2019,Romania
26.3,2020,Romania
26.18,2021,Romania
2900.0,2010,Romania
3031.0,2011,Romania
3170.0,2012,Romania
2963.0,2013,Romania
3497.0,2014,Romania
3892.0,2015,Romania
4368.0,2016,Romania
4610.0,2017,Romania
5076.0,2018,Romania
4967.0,2019,Romania
5067.0,2020,Romania
5006.0,2021,Romania
597.0,2010,Bulgaria
602.0,2011,Bulgaria
630.0,2012,Bulgaria
691.0,2013,Bulgaria
772.0,2014,Bulgaria
837.0,2015,Bulgaria
859.0,2016,Bulgaria
1052.0,2017,Bulgaria
1102.0,2018,Bulgaria
1350.0,2019,Bulgaria
1414.0,2020,Bulgaria
1564.0,2021,Bulgaria
57.11,2010,Romania
59.25,2011,Romania
60.54,2012,Romania
56.09,2013,Romania
65.1,2014,Romania
71.01,2015,Romania
78.03,2016,Romania
80.41,2017,Romania
85.55,2018,Romania
80.46,2019,Romania
79.02,2020,Romania
74.61,2021,Romania
8.07,2010,Bulgaria
8.19,2011,Bulgaria
8.62,2012,Bulgaria
9.51,2013,Bulgaria
10.69,2014,Bulgaria
11.66,2015,Bulgaria
12.05,2016,Bulgaria
14.87,2017,Bulgaria
15.69,2018,Bulgaria
19.35,2019,Bulgaria
20.39,2020,Bulgaria
22.74,2021,Bulgaria
